Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
South Africa,450,128.16666666666666,3.51,450,1,draw,England,Gqeberha,1999-12-09,0,10
South Africa,450,136.5,3.29,450,1,won,Pakistan,Karachi,2007-10-01,0,10
South Africa,450,151.66666666666666,2.96,450,1,draw,Australia,Brisbane,2012-11-09,0,10
Australia,450,131.0,3.43,450,1,won,Sri Lanka,Hobart,2012-12-14,1,5
South Africa,450,136.0,3.3,-7,4,draw,India,Johannesburg,2013-12-18,0,7
Pakistan,450,145.0,3.1,-39,4,lost,Australia,Brisbane,2016-12-15,0,10
Australia,449,,2.21,449,1,won,South Africa,Cape Town,1957-12-31,0,10
India,449,176.66666666666666,2.54,99,2,draw,Pakistan,Brabourne,1960-12-02,1,9
England,449,180.83333333333334,2.48,100,2,draw,West Indies,Bridgetown,1968-02-29,0,10
Pakistan,449,142.0,3.16,449,1,draw,England,Faisalabad,1984-03-12,1,8
West Indies,449,123.16666666666667,3.64,449,1,won,Australia,Perth,1988-12-02,0,10
India,449,128.66666666666666,3.48,-121,2,lost,Pakistan,Bengaluru,2005-03-24,0,10
West Indies,449,153.0,2.93,449,1,lost,Australia,Bridgetown,2012-04-07,1,9
New Zealand,449,131.0,3.42,449,1,draw,Pakistan,Karachi,2023-01-02,0,10
Australia,448,122.5,3.65,448,1,won,South Africa,Manchester,1912-05-27,0,10
Pakistan,448,182.83333333333334,2.45,448,1,draw,India,Chennai,1961-01-13,1,8
Australia,448,,3.63,161,2,draw,Pakistan,Melbourne,1964-12-04,0,10
India,448,138.33333333333334,3.23,448,1,draw,England,Brabourne,1973-02-06,0,10
England,448,171.66666666666666,2.6,448,1,draw,West Indies,Georgetown,1974-03-22,0,10
West Indies,448,162.5,2.75,254,2,draw,Pakistan,Georgetown,1977-03-18,0,10
Australia,448,166.0,2.69,275,3,draw,West Indies,Brisbane,1979-12-01,1,6
West Indies,448,126.83333333333333,3.53,573,3,won,Australia,Adelaide,1980-01-26,0,10
West Indies,448,129.16666666666666,3.46,203,2,draw,England,Nottingham,1988-06-02,1,9
Pakistan,448,153.33333333333334,2.92,448,1,draw,England,Leeds,1996-08-08,0,10
West Indies,448,141.66666666666666,3.16,448,1,lost,Sri Lanka,Galle,2001-11-13,0,10
South Africa,448,166.5,2.69,125,2,won,Sri Lanka,Centurion,2002-11-15,0,10
Sri Lanka,448,128.0,3.5,457,3,draw,Pakistan,Colombo (SSC),2006-03-26,1,5
New Zealand,448,135.0,3.31,326,3,draw,India,Hyderabad,2010-11-12,1,8
West Indies,448,178.33333333333334,2.51,122,2,draw,Zimbabwe,Bulawayo,2017-10-29,0,10
Australia,447,127.0,3.51,447,1,won,England,Sydney,1911-12-15,0,10
England,447,132.16666666666666,3.38,93,2,lost,Australia,Adelaide,1921-01-14,0,10
Australia,447,,2.83,173,2,won,South Africa,Melbourne,1964-01-01,0,10
West Indies,447,119.0,3.75,215,3,draw,New Zealand,Christchurch,1980-02-22,1,5
England,447,143.66666666666666,3.11,447,1,draw,Pakistan,Manchester,1987-06-04,0,10
New Zealand,447,169.66666666666666,2.63,447,1,draw,Pakistan,Wellington,1989-02-10,0,10
Australia,447,167.83333333333334,2.66,187,2,won,England,Manchester,1989-07-27,0,10
South Africa,447,133.16666666666666,3.35,-30,2,draw,England,Leeds,1994-08-04,0,10
Australia,447,100.16666666666667,4.46,447,1,lost,England,Leeds,2001-08-16,0,10
England,447,78.0,5.73,343,2,won,Bangladesh,Chester-le-Street,2005-06-03,1,3
Sri Lanka,447,127.0,3.51,623,3,won,Bangladesh,Chattogram,2009-01-03,1,6
South Africa,447,111.33333333333333,4.01,465,3,draw,England,Cape Town,2010-01-03,1,7
West Indies,447,143.0,3.12,447,1,draw,Zimbabwe,Bulawayo,2023-02-04,1,6
England,446,157.83333333333334,2.82,446,1,won,Australia,Manchester,1905-07-24,0,10
England,446,189.33333333333334,2.35,459,3,won,New Zealand,The Oval,1983-07-14,1,6
West Indies,446,121.83333333333333,3.66,446,1,won,England,Bridgetown,1990-04-05,0,10
West Indies,446,120.83333333333333,3.69,186,2,won,England,St John's,1990-04-12,0,10
Pakistan,446,137.0,3.25,446,1,draw,England,Birmingham,1992-06-04,1,4
India,446,151.16666666666666,2.95,95,2,draw,Sri Lanka,Colombo (PSS),1993-08-04,0,10
England,446,132.5,3.36,-16,2,draw,Pakistan,Faisalabad,2005-11-20,0,10
England,446,139.33333333333334,3.2,446,1,won,Pakistan,Lord's,2010-08-26,0,10
Pakistan,445,154.0,2.88,445,1,draw,England,Karachi,1973-03-24,1,6
India,445,,2.35,-47,4,lost,Australia,Adelaide,1978-01-28,0,10
India,445,148.33333333333334,3.0,183,2,draw,Australia,Melbourne,1985-12-26,0,10
England,445,158.5,2.8,445,1,lost,Sri Lanka,The Oval,1998-08-27,0,10
Australia,445,131.83333333333334,3.37,445,1,lost,India,Eden Gardens,2001-03-11,0,10
England,445,146.5,3.03,445,1,won,South Africa,Nottingham,2003-08-14,0,10
Pakistan,445,119.5,3.72,-83,2,draw,England,Lord's,2006-07-13,0,10
Australia,445,136.33333333333334,3.26,445,1,won,South Africa,Sydney,2009-01-03,0,10
Australia,445,104.16666666666667,4.27,343,2,won,England,Leeds,2009-08-07,0,10
England,445,129.0,3.44,342,3,won,Pakistan,Birmingham,2016-08-03,1,6
Pakistan,445,122.83333333333333,3.62,212,2,won,Bangladesh,Rawalpindi,2020-02-07,0,10
India,444,178.0,2.49,180,3,draw,West Indies,Kingston,1953-03-28,0,10
West Indies,444,176.0,2.52,444,1,won,India,Port of Spain,1962-04-04,1,9
New Zealand,444,123.0,3.6,464,3,won,Sri Lanka,Colombo (RPS),1998-05-27,1,6
Australia,444,128.5,3.45,444,1,won,Pakistan,Sharjah,2002-10-19,0,10
England,444,113.33333333333333,3.91,444,1,draw,Australia,Manchester,2005-08-11,0,10
India,444,116.66666666666667,3.8,-73,2,lost,Australia,Adelaide,2014-12-09,0,10
Australia,443,,2.53,270,2,won,South Africa,Sydney,1953-01-09,0,10
West Indies,443,127.0,3.48,443,3,won,India,Kanpur,1958-12-12,1,7
Australia,443,,2.42,443,1,draw,England,Brisbane,1965-12-10,1,6
West Indies,443,142.66666666666666,3.1,443,1,won,India,Mohali,1994-12-10,0,10
New Zealand,443,152.5,2.9,443,1,draw,England,Auckland,2013-03-22,0,10
Pakistan,443,126.5,3.5,443,1,lost,Australia,Melbourne,2016-12-26,1,9
India,443,169.66666666666666,2.61,443,1,won,Australia,Melbourne,2018-12-26,1,7
Pakistan,443,171.66666666666666,2.58,-62,4,draw,Australia,Karachi,2022-03-12,0,7
England,442,141.66666666666666,3.12,442,1,draw,South Africa,Johannesburg,1931-02-13,0,10
England,442,205.33333333333334,2.15,-59,2,draw,South Africa,Cape Town,1965-01-01,0,10
Australia,442,153.0,2.88,442,1,draw,India,Eden Gardens,1979-10-26,0,10
West Indies,442,163.16666666666666,2.7,157,2,draw,England,Kingston,1981-04-10,0,10
South Africa,442,162.0,2.72,274,2,draw,New Zealand,Christchurch,1999-03-11,1,1
Australia,442,134.5,3.28,351,3,won,Sri Lanka,Kandy,2004-03-16,0,10
Sri Lanka,442,130.0,3.4,349,3,won,England,Kandy,2007-12-01,1,8
Pakistan,442,138.66666666666666,3.18,193,2,won,South Africa,Abu Dhabi,2013-10-14,0,10
Australia,442,149.0,2.96,442,1,won,England,Adelaide,2017-12-02,1,8
England,441,183.0,2.4,97,3,lost,Australia,Nottingham,1948-06-10,0,10
Australia,441,,3.86,441,1,won,Pakistan,Melbourne,1972-12-29,1,5
West Indies,441,132.16666666666666,3.33,173,2,draw,Australia,Brisbane,1979-12-01,0,10
New Zealand,441,133.0,3.31,366,3,draw,Zimbabwe,Auckland,1996-01-20,1,5
Australia,441,125.5,3.51,441,1,won,India,Adelaide,1999-12-10,0,10
Zimbabwe,441,160.33333333333334,2.75,441,1,won,Bangladesh,Harare,2004-02-19,0,10
England,441,124.5,3.54,55,2,won,New Zealand,Lord's,2004-05-20,0,10
South Africa,441,142.16666666666666,3.1,441,1,won,England,Cape Town,2005-01-02,0,10
India,441,124.83333333333333,3.53,441,1,won,Australia,Nagpur,2008-11-06,0,10
South Africa,441,122.83333333333333,3.59,441,1,won,Bangladesh,Bloemfontein,2008-11-19,0,10
New Zealand,441,115.16666666666667,3.82,441,1,won,West Indies,Wellington,2013-12-11,0,10
New Zealand,441,85.83333333333333,5.13,441,1,won,Sri Lanka,Christchurch,2014-12-26,0,10
New Zealand,440,136.5,3.22,440,1,draw,England,Wellington,1930-01-24,0,10
England,440,198.5,2.21,440,1,won,Australia,Lord's,1934-06-22,0,10
England,440,128.0,3.43,147,2,draw,New Zealand,Manchester,1949-07-23,1,9
England,440,167.66666666666666,2.62,224,2,won,Pakistan,The Oval,1967-08-24,0,10
Australia,440,,2.87,43,2,draw,England,Perth,1970-12-11,0,10
New Zealand,440,188.16666666666666,2.33,-38,4,lost,England,Nottingham,1973-06-07,0,10
New Zealand,440,151.83333333333334,2.89,-71,2,draw,West Indies,Georgetown,1985-04-06,0,10
South Africa,440,181.33333333333334,2.42,152,2,won,New Zealand,Cape Town,1995-01-02,0,10
England,440,152.66666666666666,2.88,440,1,draw,West Indies,Nottingham,1995-08-10,0,10
Australia,439,127.66666666666667,3.43,282,2,won,South Africa,Johannesburg,1936-02-15,0,10
England,439,181.0,2.42,46,2,draw,Pakistan,Dhaka,1962-01-19,0,10
West Indies,439,116.66666666666667,3.76,358,3,lost,Australia,Georgetown,1978-03-31,0,10
England,439,227.5,1.92,-57,2,draw,New Zealand,Auckland,1984-02-10,0,10
Pakistan,439,173.5,2.53,439,1,draw,England,Birmingham,1987-07-23,0,10
Australia,439,141.0,3.11,439,1,won,South Africa,Adelaide,2001-12-14,0,10
Australia,439,145.0,3.02,474,3,won,West Indies,Bridgetown,2008-06-12,1,5
Australia,439,131.16666666666666,3.34,-12,2,draw,West Indies,Adelaide,2009-12-04,0,10
England,438,124.0,3.53,438,1,won,South Africa,Birmingham,1924-06-14,0,10
England,438,103.83333333333333,4.21,200,2,won,West Indies,The Oval,1928-08-11,0,10
England,438,136.83333333333334,3.2,219,2,won,India,Mumbai,1933-12-15,0,10
West Indies,438,182.0,2.4,21,2,draw,India,Port of Spain,1953-01-21,0,10
India,438,209.0,2.09,234,3,draw,New Zealand,Eden Gardens,1955-12-28,1,7
Australia,438,156.83333333333334,2.79,438,1,won,England,Adelaide,1982-12-10,0,10
Pakistan,438,195.0,2.24,-9,2,draw,New Zealand,Wellington,1989-02-10,1,7
West Indies,438,110.33333333333333,3.96,438,1,draw,Pakistan,St John's,1993-05-01,0,10
West Indies,438,155.0,2.82,292,3,draw,England,Manchester,2000-08-03,1,7
Sri Lanka,438,109.33333333333333,4.0,417,3,won,Pakistan,Faisalabad,2004-10-20,0,10
India,438,134.5,3.25,438,1,won,New Zealand,Hyderabad,2012-08-23,0,10
India,438,102.66666666666667,4.26,246,2,draw,New Zealand,Wellington,2014-02-14,0,10
Pakistan,438,130.83333333333334,3.34,438,1,draw,New Zealand,Karachi,2022-12-26,0,10
India,438,128.0,3.42,438,1,draw,West Indies,Port of Spain,2023-07-20,0,10
England,437,181.66666666666666,2.4,176,3,won,Australia,Sydney,1894-12-14,0,10
South Africa,437,,2.85,437,1,won,New Zealand,Durban,1953-12-11,1,9
England,437,169.16666666666666,2.58,140,2,won,Australia,Manchester,1977-07-07,0,10
West Indies,437,140.0,3.12,437,1,draw,India,Bengaluru,1978-12-15,0,10
India,437,200.0,2.18,437,1,draw,England,Eden Gardens,1984-12-31,1,7
West Indies,437,141.0,3.09,437,1,draw,India,Georgetown,1989-03-25,0,10
England,437,136.0,3.21,221,2,won,West Indies,Manchester,1995-07-27,0,10
New Zealand,437,144.5,3.02,-111,2,draw,West Indies,St John's,1996-04-27,0,10
West Indies,437,116.16666666666667,3.76,-116,2,draw,England,Lord's,2007-05-17,0,10
New Zealand,437,140.0,3.12,155,2,draw,Bangladesh,Mirpur,2013-10-21,0,10
England,436,182.83333333333334,2.38,414,3,won,Australia,The Oval,1926-08-14,0,10
England,436,245.33333333333334,1.77,101,3,lost,West Indies,Nottingham,1950-07-20,0,10
England,436,147.66666666666666,2.95,483,3,draw,Australia,Lord's,1975-07-31,1,7
England,436,155.66666666666666,2.8,436,1,won,Australia,Leeds,1977-08-11,0,10
Australia,436,125.5,3.47,436,1,won,Pakistan,Perth,1983-11-11,1,9
India,436,183.66666666666666,2.37,140,2,draw,West Indies,Port of Spain,1997-03-14,0,10
India,436,106.16666666666667,4.1,11,2,won,Sri Lanka,Colombo (PSS),2010-08-03,0,10
Australia,435,108.33333333333333,4.01,435,1,lost,England,Sydney,1933-02-23,0,10
South Africa,435,,2.27,-85,2,won,Australia,Melbourne,1953-02-06,0,10
England,435,220.0,1.97,435,1,won,West Indies,Georgetown,1954-02-24,0,10
Australia,435,,2.84,435,1,draw,South Africa,Brisbane,1963-12-06,0,10
England,435,207.83333333333334,2.09,-67,2,draw,South Africa,Gqeberha,1965-02-12,0,10
England,435,156.66666666666666,2.77,435,1,won,New Zealand,Birmingham,1965-05-27,0,10
England,435,129.83333333333334,3.35,-252,2,lost,West Indies,The Oval,1976-08-12,0,10
Pakistan,435,133.66666666666666,3.25,435,1,draw,West Indies,Bridgetown,1977-02-18,0,10
Australia,435,146.16666666666666,2.97,435,1,draw,New Zealand,Wellington,1986-02-21,0,10
Pakistan,435,122.0,3.56,143,2,won,West Indies,Georgetown,1988-04-02,0,10
England,435,141.83333333333334,3.06,435,1,won,New Zealand,Birmingham,1990-07-05,0,10
Australia,435,159.66666666666666,2.72,74,2,won,South Africa,Cape Town,1994-03-17,0,10
Australia,435,105.5,4.12,435,1,won,West Indies,Brisbane,2005-11-03,0,10
England,435,106.83333333333333,4.07,435,1,draw,Australia,Cardiff,2009-07-08,0,10
South Africa,435,140.0,3.1,400,3,draw,New Zealand,Dunedin,2012-03-07,1,5
England,435,87.16666666666667,4.99,435,1,lost,New Zealand,Wellington,2023-02-24,1,8
England,434,,2.13,434,1,won,Australia,The Oval,1886-08-12,0,10
Pakistan,434,145.0,2.99,356,3,won,New Zealand,Christchurch,1995-12-08,0,10
South Africa,434,157.33333333333334,2.75,-153,3,lost,Sri Lanka,Colombo (SSC),2006-07-27,0,10
India,434,116.0,3.74,616,3,draw,New Zealand,Wellington,2009-04-03,1,7
Pakistan,434,144.16666666666666,3.01,-150,2,draw,South Africa,Abu Dhabi,2010-11-20,0,10
Australia,433,,2.63,391,3,won,England,Adelaide,1937-01-29,0,10
Australia,433,,2.81,433,1,draw,England,Brisbane,1970-11-27,0,10
England,433,148.16666666666666,2.92,433,1,won,India,Lord's,1982-06-10,0,10
Pakistan,433,140.5,3.08,237,2,won,New Zealand,Karachi,1990-10-10,1,6
New Zealand,433,141.0,3.07,433,1,lost,Australia,Christchurch,2005-03-10,0,10
Bangladesh,433,158.83333333333334,2.72,433,1,won,Zimbabwe,Khulna,2014-11-03,0,10
West Indies,432,,3.52,459,3,draw,Australia,Adelaide,1961-01-27,1,6
Australia,432,171.66666666666666,2.51,255,3,won,England,Manchester,1961-07-27,0,10
England,432,183.0,2.36,202,3,draw,West Indies,Kingston,1974-02-16,0,9
India,432,119.33333333333333,3.62,-87,2,draw,England,Manchester,1990-08-09,0,10
New Zealand,432,192.0,2.25,127,2,draw,England,Wellington,1992-02-06,1,9
Australia,432,130.0,3.32,511,3,won,England,Manchester,1993-06-03,1,5
Sri Lanka,432,149.5,2.88,258,2,won,Zimbabwe,Harare,1999-11-26,0,10
England,432,118.33333333333333,3.65,-209,2,lost,Australia,The Oval,2001-08-23,0,10
Australia,432,123.33333333333333,3.5,-1,2,won,New Zealand,Christchurch,2005-03-10,0,10
Australia,432,107.0,4.03,138,2,won,Sri Lanka,Sydney,2013-01-03,1,9
New Zealand,432,84.83333333333333,5.09,221,2,won,Bangladesh,Wellington,2019-03-08,1,6
England,432,132.33333333333334,3.26,354,2,won,India,Leeds,2021-08-25,0,10
Pakistan,431,149.5,2.88,431,1,draw,India,Bengaluru,1979-11-21,1,9
West Indies,431,132.5,3.25,175,2,won,Australia,Kingston,1999-03-13,0,10
Zimbabwe,431,150.0,2.87,324,2,draw,Bangladesh,Dhaka,2001-11-08,0,10
New Zealand,431,118.83333333333333,3.62,-121,4,lost,England,Napier,2008-03-22,0,10
Australia,431,126.83333333333333,3.39,431,1,won,West Indies,Kingston,2008-05-22,0,10
New Zealand,431,96.16666666666667,4.48,431,1,won,Sri Lanka,Dunedin,2015-12-10,0,10
South Africa,431,124.16666666666667,3.47,254,2,won,Pakistan,Cape Town,2019-01-03,0,10
New Zealand,431,115.0,3.74,187,2,won,Sri Lanka,Colombo (PSS),2019-08-22,1,6
South Africa,431,131.33333333333334,3.28,-71,2,lost,India,Visakhapatnam,2019-10-02,0,10
New Zealand,431,155.0,2.78,431,1,won,Pakistan,Mount Maunganui,2020-12-26,0,10
England,430,130.0,3.3,430,1,draw,Australia,The Oval,1905-08-14,0,10
England,430,139.5,3.08,184,2,draw,South Africa,Durban,1928-01-21,0,10
India,430,134.33333333333334,3.2,158,2,won,Pakistan,Chennai,1980-01-15,0,10
England,430,121.83333333333333,3.52,-171,2,lost,Australia,Leeds,1989-06-08,0,10
Pakistan,430,126.66666666666667,3.39,181,2,won,New Zealand,Rawalpindi,1996-11-28,0,10
Australia,430,149.83333333333334,2.86,430,1,draw,India,Bengaluru,2008-10-09,0,10
England,430,102.16666666666667,4.2,430,1,won,Australia,Cardiff,2015-07-08,0,10
Bangladesh,430,150.33333333333334,2.86,430,1,lost,West Indies,Chattogram,2021-02-03,0,10
Australia,429,162.33333333333334,2.64,181,2,won,South Africa,Durban,1935-12-14,0,10
West Indies,429,151.66666666666666,2.82,429,1,draw,Australia,Port of Spain,1965-03-26,0,10
England,429,,2.05,114,2,draw,New Zealand,Auckland,1978-03-04,0,10
England,429,180.83333333333334,2.37,429,1,won,New Zealand,Nottingham,1978-08-10,0,10
India,429,150.83333333333334,2.84,-8,4,draw,England,The Oval,1979-08-30,0,8
Australia,429,149.83333333333334,2.86,429,1,lost,West Indies,Bridgetown,1984-03-30,0,10
England,429,143.33333333333334,2.99,235,2,won,Sri Lanka,Lord's,1988-08-25,0,10
India,429,169.5,2.53,85,2,draw,England,Lord's,1996-06-20,0,10
India,429,141.5,3.03,29,2,won,Bangladesh,Dhaka,2000-11-10,0,10
South Africa,429,115.33333333333333,3.71,179,2,won,Bangladesh,Centurion,2008-11-26,0,10
New Zealand,429,131.83333333333334,3.25,429,1,won,Pakistan,Dunedin,2009-11-24,0,10
Australia,429,130.16666666666666,3.29,429,1,won,Pakistan,Brisbane,2016-12-15,0,10
Bangladesh,429,103.0,4.16,-52,3,lost,New Zealand,Hamilton,2019-02-28,0,10
England,428,127.33333333333333,3.36,428,1,draw,South Africa,Lord's,1907-07-01,0,10
England,428,185.83333333333334,2.3,428,1,draw,South Africa,Durban,1923-01-18,0,10
England,428,158.83333333333334,2.69,311,3,won,South Africa,Cape Town,1927-12-31,0,10
England,428,169.66666666666666,2.52,228,2,won,India,Lord's,1946-06-22,0,10
India,428,144.5,2.96,428,1,won,England,Chennai,1962-01-10,0,10
England,428,132.0,3.24,428,1,won,Pakistan,Leeds,1962-07-05,0,10
England,428,136.33333333333334,3.13,428,1,draw,Pakistan,Nottingham,1962-07-26,1,5
England,428,149.0,2.87,234,2,won,New Zealand,Wellington,1963-03-01,1,8
Australia,428,157.0,2.72,428,1,draw,West Indies,Kingston,1973-02-16,1,7
West Indies,428,124.83333333333333,3.42,0,2,draw,Australia,Kingston,1973-02-16,0,10
India,428,150.0,2.85,28,2,draw,England,Bengaluru,1981-12-09,0,10
Pakistan,428,139.0,3.07,428,1,won,England,Lord's,1982-08-12,1,8
Pakistan,428,158.0,2.7,428,1,draw,India,Lahore,1984-10-17,1,9
West Indies,428,153.0,2.79,-118,2,draw,India,Nagpur,1994-12-01,0,10
South Africa,428,159.83333333333334,2.67,428,1,draw,England,Gqeberha,1995-12-26,0,10
South Africa,428,121.16666666666667,3.53,428,1,won,India,Eden Gardens,1996-11-27,0,10
Sri Lanka,428,147.0,2.91,142,2,draw,Zimbabwe,Bulawayo,1999-11-18,0,10
Australia,428,123.5,3.46,23,2,won,West Indies,Adelaide,2005-11-25,0,10
Australia,428,151.66666666666666,2.82,428,1,lost,India,Mohali,2010-10-01,0,10
England,428,123.66666666666667,3.46,58,2,won,West Indies,Nottingham,2012-05-25,0,10
Sri Lanka,428,172.0,2.48,428,1,lost,Pakistan,Sharjah,2014-01-16,1,9
England,427,128.0,3.33,427,1,won,South Africa,Manchester,1929-07-27,1,7
Australia,427,184.0,2.32,180,3,draw,England,Nottingham,1938-06-10,1,6
England,427,190.0,2.24,427,1,draw,South Africa,The Oval,1947-08-16,0,10
India,427,197.66666666666666,2.16,261,3,draw,West Indies,Port of Spain,1971-04-13,0,10
West Indies,427,137.66666666666666,3.1,427,1,draw,India,Kingston,1997-03-06,0,10
Australia,427,121.83333333333333,3.5,427,1,won,England,Nottingham,1997-08-07,0,10
West Indies,427,112.16666666666667,3.8,-105,2,draw,South Africa,Cape Town,2004-01-02,0,10
Bangladesh,427,123.5,3.45,427,1,lost,Australia,Fatullah,2006-04-09,0,10
Australia,427,129.33333333333334,3.3,132,2,won,New Zealand,Brisbane,2011-12-01,0,10
West Indies,427,127.0,3.36,169,2,won,England,Leeds,2017-08-25,0,10
New Zealand,427,141.0,3.02,369,2,won,England,Auckland,2018-03-22,1,8
England,426,153.0,2.78,401,3,won,Australia,Nottingham,1905-05-29,1,5
England,426,,2.26,426,1,won,Australia,Sydney,1936-12-18,1,6
Australia,426,,2.47,136,2,won,England,Sydney,1951-01-05,0,10
Australia,426,,2.74,226,3,draw,England,Melbourne,1965-12-30,0,10
West Indies,426,147.0,2.89,426,1,won,England,Port of Spain,1981-02-13,1,9
New Zealand,426,157.66666666666666,2.7,98,2,draw,Pakistan,Karachi,1984-12-10,0,10
Australia,426,120.33333333333333,3.54,426,1,won,England,Brisbane,1994-11-25,0,10
India,426,104.83333333333333,4.06,426,1,draw,Sri Lanka,Ahmedabad,2009-11-16,0,10
New Zealand,426,143.5,2.96,426,1,won,Zimbabwe,Bulawayo,2011-11-01,0,10
West Indies,426,129.5,3.28,426,1,draw,England,Birmingham,2012-06-07,0,10
Bangladesh,426,119.83333333333333,3.55,-161,2,draw,Sri Lanka,Chattogram,2014-02-04,0,10
South Africa,426,124.16666666666667,3.43,426,1,won,Sri Lanka,Johannesburg,2017-01-12,0,10
Pakistan,426,133.0,3.2,250,2,won,Zimbabwe,Harare,2021-04-29,0,10
England,425,125.0,3.4,379,3,won,West Indies,Port of Spain,1930-02-01,1,8
England,425,128.66666666666666,3.3,425,1,lost,Australia,Lord's,1930-06-27,0,10
West Indies,425,178.0,2.38,600,3,won,England,Lord's,1950-06-24,1,6
Australia,425,,3.63,292,3,won,Pakistan,Melbourne,1972-12-29,0,10
India,425,130.5,3.25,35,2,draw,Australia,Chennai,1979-09-11,0,10
England,425,153.16666666666666,2.77,425,1,draw,India,Manchester,1982-06-24,0,10
Australia,425,124.66666666666667,3.4,135,2,won,England,Lord's,1985-06-27,0,10
England,425,172.83333333333334,2.45,425,1,draw,Australia,Sydney,1988-01-29,0,10
England,425,126.83333333333333,3.35,88,2,won,South Africa,Gqeberha,2004-12-17,0,10
England,425,101.66666666666667,4.18,425,1,won,Australia,Lord's,2009-07-16,0,10
Pakistan,425,123.0,3.45,491,3,draw,Sri Lanka,Colombo (SSC),2009-07-20,1,9
Sri Lanka,425,138.0,3.07,425,1,lost,India,Colombo (PSS),2010-08-03,0,10
England,425,126.66666666666667,3.35,6,2,draw,South Africa,Leeds,2012-08-02,0,10
Australia,425,104.5,4.06,278,2,won,England,Brisbane,2021-12-08,0,10
Bangladesh,425,80.0,5.31,661,3,won,Afghanistan,Mirpur,2023-06-14,1,4
England,424,155.5,2.72,424,1,draw,New Zealand,Lord's,1937-06-26,0,10
England,424,123.5,3.43,297,2,won,West Indies,Lord's,1957-06-20,0,10
India,424,137.0,3.09,424,1,draw,West Indies,Wankhede,1978-12-01,0,10
Australia,424,138.0,3.07,542,3,won,Pakistan,Perth,1981-11-13,1,8
Australia,424,131.83333333333334,3.21,13,2,draw,England,Perth,1982-11-12,1,9
West Indies,424,112.66666666666667,3.76,249,2,won,Australia,Brisbane,1984-11-23,0,10
Australia,424,142.0,2.98,424,1,draw,England,Birmingham,1989-07-06,0,10
India,424,123.33333333333333,3.43,424,1,lost,Australia,Bengaluru,1998-03-25,0,10
India,424,115.0,3.68,164,3,draw,England,Nottingham,2002-08-08,1,8
India,424,172.0,2.46,-206,2,draw,New Zealand,Mohali,2003-10-16,0,10
South Africa,423,141.0,3.0,-27,4,draw,England,The Oval,1947-08-16,0,7
Pakistan,423,132.5,3.19,135,2,draw,India,Faisalabad,1989-11-23,1,9
Pakistan,423,157.0,2.69,153,2,draw,Sri Lanka,Sialkot,1991-12-12,1,5
Pakistan,423,155.0,2.72,423,1,won,Zimbabwe,Karachi,1993-12-01,1,8
Sri Lanka,423,155.16666666666666,2.72,375,3,draw,Pakistan,Colombo (RPS),1997-04-19,1,8
South Africa,423,119.0,3.55,243,2,won,England,Johannesburg,2010-01-14,1,7
South Africa,423,150.83333333333334,2.8,423,1,won,Australia,Gqeberha,2014-02-20,0,10
England,423,112.5,3.76,463,3,won,India,The Oval,2018-09-07,1,8
Australia,422,127.66666666666667,3.3,278,3,won,England,Sydney,1908-02-21,0,10
Australia,422,121.66666666666667,3.46,-72,2,draw,England,Lord's,1938-06-24,0,10
England,422,,2.78,422,1,draw,South Africa,Johannesburg,1938-12-24,0,10
England,422,143.33333333333334,2.94,422,1,won,India,Nottingham,1959-06-04,0,10
India,422,143.16666666666666,2.94,175,3,lost,West Indies,Port of Spain,1962-04-04,0,10
New Zealand,422,163.33333333333334,2.58,289,2,draw,West Indies,Bridgetown,1972-03-23,0,10
Pakistan,422,158.33333333333334,2.66,67,2,draw,England,Lahore,1973-03-02,0,10
England,422,155.0,2.72,370,3,draw,Australia,Nottingham,1993-07-01,1,6
South Africa,422,205.33333333333334,2.05,153,2,draw,Australia,Durban,1994-03-25,0,10
Australia,422,139.66666666666666,3.02,228,2,won,Zimbabwe,Harare,1999-10-14,0,10
Zimbabwe,422,168.0,2.51,422,1,lost,India,Delhi,2000-11-18,1,9
West Indies,422,132.0,3.19,422,1,won,India,Kingston,2002-05-18,0,10
England,422,137.0,3.08,-44,3,draw,West Indies,St John's,2004-04-10,0,5
South Africa,422,126.0,3.34,530,3,won,New Zealand,Johannesburg,2007-11-08,1,3
Australia,422,121.83333333333333,3.46,-20,3,lost,South Africa,Cape Town,2009-03-19,0,10
Pakistan,422,162.5,2.59,3,2,lost,Sri Lanka,Abu Dhabi,2017-09-28,0,10
Australia,421,,2.96,215,2,won,England,Lord's,1899-06-15,0,10
England,421,131.0,3.21,79,2,draw,South Africa,The Oval,1924-08-16,0,8
India,421,158.0,2.66,421,1,won,New Zealand,Brabourne,1955-12-02,1,8
West Indies,421,161.83333333333334,2.6,125,2,won,India,Brabourne,1966-12-13,0,10
West Indies,421,94.66666666666667,4.44,-14,2,draw,Pakistan,Bridgetown,1977-02-18,0,10
Australia,421,167.66666666666666,2.51,134,2,won,South Africa,Sydney,1998-01-02,0,10
South Africa,421,153.66666666666666,2.73,163,2,won,England,Cape Town,2000-01-02,0,10
Pakistan,421,133.83333333333334,3.14,450,3,won,Sri Lanka,Karachi,2000-03-12,0,10
Zimbabwe,421,147.66666666666666,2.85,167,2,won,Bangladesh,Harare,2001-04-26,1,9
England,421,170.0,2.47,128,3,draw,New Zealand,Dunedin,2013-03-06,0,6
